sweep,downstream,selection_metric,selection_epoch,selected_final_downstream,oracle,first_epoch_in_band
simclr-tau,linear_probe,rerankme,7,0.8312000036239624,0.8435999751091003,0
simclr-tau,linear_probe,rerankme,8,0.8312000036239624,0.8435999751091003,0
simclr-tau,linear_probe,rerankme,9,0.8312000036239624,0.8435999751091003,0
simclr-tau,linear_probe,rerankme,10,0.8312000036239624,0.8435999751091003,0
simclr-tau,linear_probe,rerankme,11,0.8312000036239624,0.8435999751091003,0
simclr-tau,linear_probe,rerankme,12,0.8312000036239624,0.8435999751091003,0
simclr-tau,linear_probe,rerankme,13,0.8312000036239624,0.8435999751091003,0
simclr-tau,linear_probe,rerankme,14,0.8312000036239624,0.8435999751091003,0
simclr-tau,linear_probe,rerankme,15,0.8312000036239624,0.8435999751091003,0
simclr-tau,linear_probe,rerankme,19,0.8312000036239624,0.8435999751091003,0
simclr-tau,linear_probe,rerankme,20,0.8312000036239624,0.8435999751091003,0
simclr-tau,linear_probe,rerankme,21,0.8312000036239624,0.8435999751091003,0
simclr-tau,linear_probe,rerankme,22,0.8312000036239624,0.8435999751091003,0
simclr-tau,linear_probe,rerankme,25,0.8312000036239624,0.8435999751091003,0
simclr-tau,linear_probe,rerankme,26,0.8312000036239624,0.8435999751091003,0
simclr-tau,linear_probe,rerankme,27,0.8312000036239624,0.8435999751091003,0
simclr-tau,linear_probe,rerankme,28,0.8312000036239624,0.8435999751091003,0
simclr-tau,linear_probe,rerankme,29,0.8312000036239624,0.8435999751091003,0
simclr-tau,linear_probe,rerankme,30,0.8312000036239624,0.8435999751091003,0
simclr-tau,linear_probe,rerankme,33,0.8312000036239624,0.8435999751091003,0
simclr-tau,linear_probe,rerankme,35,0.8312000036239624,0.8435999751091003,0
simclr-tau,linear_probe,rerankme,36,0.8312000036239624,0.8435999751091003,0
simclr-tau,linear_probe,rerankme,39,0.8312000036239624,0.8435999751091003,0
simclr-tau,linear_probe,rerankme,40,0.8312000036239624,0.8435999751091003,0
simclr-tau,linear_probe,rerankme,41,0.8312000036239624,0.8435999751091003,0
simclr-tau,linear_probe,rerankme,42,0.8312000036239624,0.8435999751091003,0
simclr-tau,linear_probe,rerankme,43,0.8312000036239624,0.8435999751091003,0
simclr-tau,linear_probe,rerankme,44,0.8312000036239624,0.8435999751091003,0
simclr-tau,linear_probe,rerankme,45,0.8312000036239624,0.8435999751091003,0
simclr-tau,linear_probe,rerankme,46,0.8312000036239624,0.8435999751091003,0
simclr-tau,linear_probe,rerankme,47,0.8312000036239624,0.8435999751091003,0
simclr-tau,linear_probe,rerankme,49,0.8312000036239624,0.8435999751091003,0
simclr-tau,linear_probe,rerankme,51,0.8312000036239624,0.8435999751091003,0
simclr-tau,linear_probe,rerankme,54,0.8312000036239624,0.8435999751091003,0
simclr-tau,linear_probe,rerankme,56,0.8312000036239624,0.8435999751091003,0
simclr-tau,linear_probe,rerankme,57,0.8312000036239624,0.8435999751091003,0
simclr-tau,linear_probe,rerankme,60,0.8312000036239624,0.8435999751091003,0
simclr-tau,linear_probe,rerankme,61,0.8312000036239624,0.8435999751091003,0
simclr-tau,linear_probe,rerankme,62,0.8312000036239624,0.8435999751091003,0
simclr-tau,linear_probe,rerankme,68,0.8312000036239624,0.8435999751091003,0
simclr-tau,linear_probe,rerankme,69,0.8312000036239624,0.8435999751091003,0
simclr-tau,linear_probe,rerankme,71,0.8312000036239624,0.8435999751091003,0
simclr-tau,linear_probe,rerankme,73,0.8312000036239624,0.8435999751091003,0
simclr-tau,linear_probe,rerankme,74,0.8312000036239624,0.8435999751091003,0
simclr-tau,linear_probe,rerankme,76,0.8312000036239624,0.8435999751091003,0
simclr-tau,linear_probe,rerankme,78,0.8312000036239624,0.8435999751091003,0
simclr-tau,linear_probe,rerankme,79,0.8312000036239624,0.8435999751091003,0
simclr-tau,linear_probe,rerankme,82,0.8312000036239624,0.8435999751091003,0
simclr-tau,linear_probe,rerankme,83,0.8312000036239624,0.8435999751091003,0
simclr-tau,linear_probe,rerankme,84,0.8312000036239624,0.8435999751091003,0
simclr-tau,linear_probe,rerankme,85,0.8312000036239624,0.8435999751091003,0
simclr-tau,linear_probe,rerankme,87,0.8312000036239624,0.8435999751091003,0
simclr-tau,linear_probe,rerankme,88,0.8312000036239624,0.8435999751091003,0
simclr-tau,linear_probe,rerankme,89,0.8312000036239624,0.8435999751091003,0
simclr-tau,linear_probe,rerankme,90,0.8312000036239624,0.8435999751091003,0
simclr-tau,linear_probe,rerankme,91,0.8312000036239624,0.8435999751091003,0
simclr-tau,linear_probe,rerankme,92,0.8312000036239624,0.8435999751091003,0
simclr-tau,linear_probe,rerankme,95,0.8312000036239624,0.8435999751091003,0
simclr-tau,linear_probe,rerankme,97,0.8312000036239624,0.8435999751091003,0
simclr-tau,linear_probe,rerankme,99,0.8312000036239624,0.8435999751091003,0
simclr-tau,linear_probe,rerankme,101,0.8312000036239624,0.8435999751091003,0
simclr-tau,linear_probe,rerankme,103,0.8312000036239624,0.8435999751091003,0
simclr-tau,linear_probe,rerankme,104,0.8312000036239624,0.8435999751091003,0
simclr-tau,linear_probe,rerankme,107,0.8312000036239624,0.8435999751091003,0
simclr-tau,linear_probe,rerankme,108,0.8312000036239624,0.8435999751091003,0
simclr-tau,linear_probe,rerankme,110,0.8312000036239624,0.8435999751091003,0
simclr-tau,linear_probe,rerankme,111,0.8312000036239624,0.8435999751091003,0
simclr-tau,linear_probe,rerankme,112,0.8312000036239624,0.8435999751091003,0
simclr-tau,linear_probe,rerankme,113,0.8312000036239624,0.8435999751091003,0
simclr-tau,linear_probe,rerankme,114,0.8312000036239624,0.8435999751091003,0
simclr-tau,linear_probe,rerankme,115,0.8312000036239624,0.8435999751091003,0
simclr-tau,linear_probe,rerankme,116,0.8312000036239624,0.8435999751091003,0
simclr-tau,linear_probe,rerankme,117,0.8312000036239624,0.8435999751091003,0
simclr-tau,linear_probe,rerankme,118,0.8312000036239624,0.8435999751091003,0
simclr-tau,linear_probe,rerankme,120,0.8312000036239624,0.8435999751091003,0
simclr-tau,linear_probe,rerankme,121,0.8312000036239624,0.8435999751091003,0
simclr-tau,linear_probe,rerankme,122,0.8312000036239624,0.8435999751091003,0
simclr-tau,linear_probe,rerankme,124,0.8312000036239624,0.8435999751091003,0
simclr-tau,linear_probe,rerankme,125,0.8312000036239624,0.8435999751091003,0
simclr-tau,linear_probe,rerankme,126,0.8312000036239624,0.8435999751091003,0
simclr-tau,linear_probe,rerankme,127,0.8312000036239624,0.8435999751091003,0
simclr-tau,linear_probe,rerankme,128,0.8312000036239624,0.8435999751091003,0
simclr-tau,linear_probe,rerankme,130,0.8312000036239624,0.8435999751091003,0
simclr-tau,linear_probe,rerankme,131,0.8312000036239624,0.8435999751091003,0
simclr-tau,linear_probe,rerankme,133,0.8312000036239624,0.8435999751091003,0
simclr-tau,linear_probe,rerankme,135,0.8312000036239624,0.8435999751091003,0
simclr-tau,linear_probe,rerankme,136,0.8312000036239624,0.8435999751091003,0
simclr-tau,linear_probe,rerankme,137,0.8312000036239624,0.8435999751091003,0
simclr-tau,linear_probe,rerankme,138,0.8312000036239624,0.8435999751091003,0
simclr-tau,linear_probe,rerankme,139,0.8312000036239624,0.8435999751091003,0
simclr-tau,linear_probe,rerankme,140,0.8312000036239624,0.8435999751091003,0
simclr-tau,linear_probe,rerankme,143,0.8312000036239624,0.8435999751091003,0
simclr-tau,linear_probe,rerankme,145,0.8312000036239624,0.8435999751091003,0
simclr-tau,linear_probe,rerankme,147,0.8312000036239624,0.8435999751091003,0
simclr-tau,linear_probe,rerankme,148,0.8312000036239624,0.8435999751091003,0
simclr-tau,linear_probe,rerankme,149,0.8312000036239624,0.8435999751091003,0
simclr-tau,linear_probe,rerankme,150,0.8312000036239624,0.8435999751091003,0
simclr-tau,linear_probe,rerankme,151,0.8312000036239624,0.8435999751091003,0
simclr-tau,linear_probe,rerankme,154,0.8312000036239624,0.8435999751091003,0
simclr-tau,linear_probe,rerankme,156,0.8312000036239624,0.8435999751091003,0
simclr-tau,linear_probe,rerankme,159,0.8312000036239624,0.8435999751091003,0
simclr-tau,linear_probe,rerankme,160,0.8312000036239624,0.8435999751091003,0
simclr-tau,linear_probe,rerankme,161,0.8312000036239624,0.8435999751091003,0
simclr-tau,linear_probe,rerankme,162,0.8312000036239624,0.8435999751091003,0
simclr-tau,linear_probe,rerankme,164,0.8312000036239624,0.8435999751091003,0
simclr-tau,linear_probe,rerankme,165,0.8312000036239624,0.8435999751091003,0
simclr-tau,linear_probe,rerankme,167,0.8312000036239624,0.8435999751091003,0
simclr-tau,linear_probe,rerankme,172,0.8312000036239624,0.8435999751091003,0
simclr-tau,linear_probe,rerankme,173,0.8312000036239624,0.8435999751091003,0
simclr-tau,linear_probe,rerankme,175,0.8312000036239624,0.8435999751091003,0
simclr-tau,linear_probe,rerankme,176,0.8312000036239624,0.8435999751091003,0
simclr-tau,linear_probe,rerankme,177,0.8312000036239624,0.8435999751091003,0
simclr-tau,linear_probe,rerankme,178,0.8312000036239624,0.8435999751091003,0
simclr-tau,linear_probe,rerankme,179,0.8312000036239624,0.8435999751091003,0
simclr-tau,linear_probe,rerankme,182,0.8312000036239624,0.8435999751091003,0
simclr-tau,linear_probe,rerankme,183,0.8312000036239624,0.8435999751091003,0
simclr-tau,linear_probe,rerankme,184,0.8312000036239624,0.8435999751091003,0
simclr-tau,linear_probe,rerankme,187,0.8312000036239624,0.8435999751091003,0
simclr-tau,linear_probe,rerankme,189,0.8312000036239624,0.8435999751091003,0
simclr-tau,linear_probe,rerankme,190,0.8312000036239624,0.8435999751091003,0
simclr-tau,linear_probe,rerankme,191,0.8312000036239624,0.8435999751091003,0
simclr-tau,linear_probe,rerankme,192,0.8312000036239624,0.8435999751091003,0
simclr-tau,linear_probe,rerankme,193,0.8312000036239624,0.8435999751091003,0
simclr-tau,linear_probe,rerankme,195,0.8312000036239624,0.8435999751091003,0
simclr-tau,linear_probe,rerankme,197,0.8312000036239624,0.8435999751091003,0
simclr-tau,linear_probe,rerankme,198,0.8312000036239624,0.8435999751091003,0
simclr-tau,linear_probe,rerankme,199,0.8312000036239624,0.8435999751091003,0
simclr-tau,linear_probe,rerankme,201,0.8312000036239624,0.8435999751091003,0
simclr-tau,linear_probe,rerankme,202,0.8312000036239624,0.8435999751091003,0
simclr-tau,linear_probe,rerankme,203,0.8312000036239624,0.8435999751091003,0
simclr-tau,linear_probe,rerankme,204,0.8312000036239624,0.8435999751091003,0
simclr-tau,linear_probe,rerankme,205,0.8312000036239624,0.8435999751091003,0
simclr-tau,linear_probe,rerankme,206,0.8312000036239624,0.8435999751091003,0
simclr-tau,linear_probe,rerankme,208,0.8312000036239624,0.8435999751091003,0
simclr-tau,linear_probe,rerankme,209,0.8312000036239624,0.8435999751091003,0
simclr-tau,linear_probe,rerankme,210,0.8312000036239624,0.8435999751091003,0
simclr-tau,linear_probe,rerankme,211,0.8312000036239624,0.8435999751091003,0
simclr-tau,linear_probe,rerankme,212,0.8312000036239624,0.8435999751091003,0
simclr-tau,linear_probe,rerankme,215,0.8312000036239624,0.8435999751091003,0
simclr-tau,linear_probe,rerankme,217,0.8312000036239624,0.8435999751091003,0
simclr-tau,linear_probe,rerankme,218,0.8312000036239624,0.8435999751091003,0
simclr-tau,linear_probe,rerankme,219,0.8312000036239624,0.8435999751091003,0
simclr-tau,linear_probe,rerankme,221,0.8312000036239624,0.8435999751091003,0
simclr-tau,linear_probe,rerankme,223,0.8312000036239624,0.8435999751091003,0
simclr-tau,linear_probe,rerankme,224,0.8312000036239624,0.8435999751091003,0
simclr-tau,linear_probe,rerankme,226,0.8312000036239624,0.8435999751091003,0
