sweep,epoch,selection_metric,n_runs,pearson_linear_probe,spearman_linear_probe,pearson_knn_probe,spearman_knn_probe,pearson_cifar10c,spearman_cifar10c
simclr-tau,115,rerankme,7,0.7869,0.3929,0.776,0.4286,0.613,0.5714
simclr-tau,116,rankme,7,-0.9086,-1.0,-0.9313,-0.9643,-0.9018,-0.8929
simclr-tau,116,rerankme,7,0.7965,0.3929,0.7808,0.4286,0.6204,0.5714
simclr-tau,117,rankme,7,-0.9008,-1.0,-0.924,-0.9643,-0.8887,-0.8929
simclr-tau,117,rerankme,7,0.8062,0.3929,0.7926,0.4286,0.6371,0.5714
simclr-tau,118,rankme,7,-0.9001,-1.0,-0.9239,-0.9643,-0.8918,-0.8929
simclr-tau,118,rerankme,7,0.7925,0.3929,0.7779,0.4286,0.6176,0.5714
simclr-tau,120,rankme,7,-0.9047,-1.0,-0.9299,-0.9643,-0.8921,-0.8929
simclr-tau,120,rerankme,7,0.7848,0.3929,0.7733,0.4286,0.6068,0.5714
simclr-tau,121,rankme,7,-0.9043,-1.0,-0.9284,-0.9643,-0.8926,-0.8929
simclr-tau,121,rerankme,7,0.7945,0.3929,0.7806,0.4286,0.6251,0.5714
simclr-tau,122,rankme,7,-0.892,-1.0,-0.9178,-0.9643,-0.8884,-0.8929
simclr-tau,122,rerankme,7,0.7802,0.3929,0.7683,0.4286,0.6089,0.5714
simclr-tau,124,rankme,7,-0.8937,-1.0,-0.9192,-0.9643,-0.8922,-0.8929
simclr-tau,124,rerankme,7,0.7977,0.3929,0.7827,0.4286,0.6259,0.5714
simclr-tau,125,rankme,7,-0.8949,-1.0,-0.9178,-0.9643,-0.8894,-0.8929
simclr-tau,125,rerankme,7,0.8068,0.5,0.7944,0.5714,0.6365,0.6071
simclr-tau,126,rankme,7,-0.8919,-1.0,-0.9132,-0.9643,-0.8922,-0.8929
simclr-tau,126,rerankme,7,0.7796,0.3929,0.7625,0.4286,0.6119,0.5714
simclr-tau,127,rankme,7,-0.8981,-1.0,-0.9236,-0.9643,-0.8927,-0.8929
simclr-tau,127,rerankme,7,0.7932,0.3929,0.7771,0.4286,0.613,0.5714
simclr-tau,128,rankme,7,-0.8921,-1.0,-0.9156,-0.9643,-0.8884,-0.8929
simclr-tau,128,rerankme,7,0.8045,0.3929,0.7928,0.4286,0.6354,0.5714
simclr-tau,130,rankme,7,-0.8908,-1.0,-0.9157,-0.9643,-0.8886,-0.8929
simclr-tau,130,rerankme,7,0.7933,0.3929,0.7801,0.4286,0.6145,0.5714
simclr-tau,131,rankme,7,-0.8899,-1.0,-0.9156,-0.9643,-0.8894,-0.8929
simclr-tau,131,rerankme,7,0.7971,0.3929,0.7837,0.4286,0.6225,0.5714
simclr-tau,133,rankme,7,-0.8916,-1.0,-0.9163,-0.9643,-0.8904,-0.8929
simclr-tau,133,rerankme,7,0.7998,0.5,0.7888,0.5714,0.6257,0.6071
simclr-tau,135,rankme,7,-0.8899,-1.0,-0.9154,-0.9643,-0.8829,-0.8929
simclr-tau,135,rerankme,7,0.7755,0.3929,0.7631,0.4286,0.6,0.5714
simclr-tau,136,rankme,7,-0.8865,-1.0,-0.9134,-0.9643,-0.882,-0.8929
simclr-tau,136,rerankme,7,0.7976,0.3929,0.7845,0.4286,0.6244,0.5714
simclr-tau,137,rankme,7,-0.8823,-1.0,-0.9082,-0.9643,-0.8888,-0.8929
simclr-tau,137,rerankme,7,0.8004,0.3929,0.7867,0.4286,0.6277,0.5714
simclr-tau,138,rankme,7,-0.8925,-1.0,-0.9174,-0.9643,-0.8885,-0.8929
simclr-tau,138,rerankme,7,0.8016,0.3929,0.7891,0.4286,0.6292,0.5714
simclr-tau,139,rankme,7,-0.887,-1.0,-0.9113,-0.9643,-0.8823,-0.8929
simclr-tau,139,rerankme,7,0.7896,0.5,0.7789,0.5714,0.615,0.6071
simclr-tau,140,rankme,7,-0.894,-1.0,-0.9185,-0.9643,-0.8864,-0.8929
simclr-tau,140,rerankme,7,0.7949,0.3929,0.782,0.4286,0.6162,0.5714
simclr-tau,143,rankme,7,-0.8897,-1.0,-0.9127,-0.9643,-0.8936,-0.8929
simclr-tau,143,rerankme,7,0.7873,0.3929,0.7727,0.4286,0.6145,0.5714
simclr-tau,145,rankme,7,-0.8853,-1.0,-0.9097,-0.9643,-0.8855,-0.8929
simclr-tau,145,rerankme,7,0.7971,0.3929,0.7844,0.4286,0.6198,0.5714
simclr-tau,147,rankme,7,-0.8897,-1.0,-0.9134,-0.9643,-0.8906,-0.8929
simclr-tau,147,rerankme,7,0.7988,0.3929,0.7879,0.4286,0.6359,0.5714
simclr-tau,148,rankme,7,-0.8846,-1.0,-0.9103,-0.9643,-0.8863,-0.8929
simclr-tau,148,rerankme,7,0.7768,0.3929,0.7642,0.4286,0.6072,0.5714
simclr-tau,149,rankme,7,-0.8792,-1.0,-0.9049,-0.9643,-0.8807,-0.8929
simclr-tau,149,rerankme,7,0.7897,0.3929,0.7785,0.4286,0.6219,0.5714
simclr-tau,150,rankme,7,-0.8831,-1.0,-0.908,-0.9643,-0.8767,-0.8929
simclr-tau,150,rerankme,7,0.7949,0.3929,0.7818,0.4286,0.6264,0.5714
simclr-tau,151,rankme,7,-0.8798,-1.0,-0.9053,-0.9643,-0.8737,-0.8929
simclr-tau,151,rerankme,7,0.7826,0.3929,0.7704,0.4286,0.6182,0.5714
simclr-tau,154,rankme,7,-0.8825,-1.0,-0.9067,-0.9643,-0.8846,-0.8929
simclr-tau,154,rerankme,7,0.7762,0.3929,0.7639,0.4286,0.6062,0.5714
simclr-tau,156,rankme,7,-0.8777,-1.0,-0.9024,-0.9643,-0.879,-0.8929
simclr-tau,156,rerankme,7,0.7816,0.3929,0.7689,0.4286,0.6124,0.5714
simclr-tau,159,rankme,7,-0.8743,-1.0,-0.8997,-0.9643,-0.8762,-0.8929
simclr-tau,159,rerankme,7,0.7758,0.3929,0.7645,0.4286,0.604,0.5714
simclr-tau,160,rankme,7,-0.8712,-1.0,-0.8972,-0.9643,-0.875,-0.8929
simclr-tau,160,rerankme,7,0.7854,0.3929,0.7733,0.4286,0.6225,0.5714
simclr-tau,161,rankme,7,-0.8665,-1.0,-0.894,-0.9643,-0.8753,-0.8929
simclr-tau,161,rerankme,7,0.7963,0.3929,0.7833,0.4286,0.6318,0.5714
simclr-tau,162,rankme,7,-0.8683,-1.0,-0.8931,-0.9643,-0.8729,-0.8929
simclr-tau,162,rerankme,7,0.7854,0.3929,0.774,0.4286,0.6183,0.5714
simclr-tau,164,rankme,7,-0.8743,-1.0,-0.8984,-0.9643,-0.8722,-0.8929
simclr-tau,164,rerankme,7,0.786,0.3929,0.7725,0.4286,0.6215,0.5714
simclr-tau,165,rankme,7,-0.8729,-1.0,-0.8983,-0.9643,-0.8772,-0.8929
simclr-tau,165,rerankme,7,0.7807,0.3929,0.7667,0.4286,0.611,0.5714
simclr-tau,167,rankme,7,-0.8703,-1.0,-0.8949,-0.9643,-0.8732,-0.8929
simclr-tau,167,rerankme,7,0.7961,0.3929,0.7836,0.4286,0.6271,0.5714
simclr-tau,172,rankme,7,-0.8606,-1.0,-0.8832,-0.9643,-0.8687,-0.8929
